audio_path,question,response,UUID,creation_time
,(?),s’abstenir,,
,les habitants de Navinwadi sont de plus en plus (?),résignés,,
,"Pour Ganesh Waghe, vivre à Navinwadi est à la fois un cauchemar et une (?)",malédiction,,
,(?),une malchance,,
,(?),fatalistes,,
,Le manque d’eau fait que beaucoup de (?) sont malades,villageois,,
,(?),un village,,
,Un approvisionnement très (?),rationné,,
,mais l’eau qu’il apporte n’est pas (?),traitée,,
,"Les villages, eux, ne sont pas (?)",raccordés,,
,Un défaut de planification. Ils dépendent donc des (?) traditionnels,puits,,
,"Les populations qui dépendent des cours d’eau, des forêts ou des plans d’eau sont les plus vulnérables et les plus (?)",démunies,,
,(?),un barrage,,
,"À plusieurs reprises, les autorités gouvernementales ont annoncé des programmes pour (?)",résoudre la crise de l’eau,,
,"mais pour l’instant, (?) les villageois résignés",constatent,,
,rien n’a (?),changé,,
,(?),Navinwadi,,
,(?),faire parvenir,,
,(?),l’enjeu du conflit,,
,(?),la Francophonie,,
,Combien de pourcentage des Vietnamiens sont francophones aujourd’hui ?,1.5 %,,
,(?),le noyau,,
,(?),l’Indochine française,,
,(?),le Cambodge,,
,(?),le Laos,,
,(?),Le Vietnam,,
,(?),la Birmanie,,
,(?),un atout,,
,"Dans la Grèce antique, on les appelait (?)",les sophistes,,
,"ces professeurs de philosophie qui se déplaçaient de ville en ville, adeptes du (?)",scepticisme,,
,"autrement dit, seule la critique peut (?) à la vérité.",mener,,
,"Au Moyen Âge, c'était (?)",le fou du roi,,
,aucun sujet de discussion n'était (?),épargné,,
,"(?) , également, devenus plus tard les gardes champêtres ou les tambours de ville, ils influençaient la vie de la cité en diffusant les informations officielles.",Les crieurs de ville,,
,"À partir du 19e siècle, ce sont les journalistes et les écrivains engagés qui étaient (?)",des influenceurs de premier plan,,
,à même de (?) pour certaines causes.,s’enflammer,,
