audio_path,question,response,UUID,creation_time
,(?),destiné à,,
,(?),matières grasses,,
,(?),protéine,,
,(?),ma théorie,,
,(?),la moitié d'entre nous,,
,(?),chaque pays doit conserver une réserve importante du dollar américain,,
,(?),une inflation,,
,(?),pause,,
,(?),un génie,,
,(?),prédire,,
,(?),prédiction,,
,(?),imprévisible,,
,(?),omettre,,
,(?),une omission,,
,(?),prévalence,,
,(?),ivresse,,
,(?),transactionnel,,
,(?),une transaction,,
,(?),honorer l'accord,,
,(?),l'évier est bloqué,,
,(?),déboucher,,
,(?),un piston de toilettes,,
,(?),un vide,,
,(?),un paon,,
,(?),la douleur,,
,(?),une tente,,
,(?),frugal,,
,(?),marié,,
,(?),Je vais les emballer,,
,(?),diplômé,,
,(?),aspirer avec l'aspirateur,,
,(?),allumer la télévision,,
,(?),fictionnel,,
,(?),le film,,
,(?),la courtoisie,,
,(?),la gracieuseté,,
,(?),par courtoisie,,
,(?),la politesse,,
,(?),une boîte,,
,(?),deux boîtes de conserve où nous les avons placé,,
,(?),une attente,,
,(?),un ensemble radicalement différent,,
,(?),vis-à-vis,,
,(?),une heure et quelques minutes,,
,(?),le raisin,,
,(?),la courgette en filet,,
,(?),les ciseaux,,
,(?),attacher,,
,(?),passer l ‘examen,,
,(?),un panier-repa,,
,(?),éventuellement,,
,(?),commerce de détail,,
,(?),Une boulangerie est tenue par un boulanger et ses apprentis,,
,(?),chiffré de bout en bout,,
,(?),au signal sonore,,
,(?),en prenant le risque,,
,(?),retarder,,
,(?),moner ,,
,(?),descendre,,
,(?),dès que,,
,(?),Dieu nous aime dans notre fragilité,,
,(?),gêner,,
,(?),annoce,,
,(?),Assurez-vous,,
,(?),sans y être invité par du personnes autorisées,,
,(?),la poussière,,
,(?),une surface rugueuse,,
,(?),une surface lisse,,
,(?),perplexer,,
,(?),une multitude,,
,(?),convenable,,
,(?),toute mon affection,,
,(?),céder,,
,(?),prolonger,,
,(?),une chute accientelle sur la plate-forme,,
,(?),fruité,,
,(?),un abricot,,
,(?),souple,,
,(?),mise en bouteille,,
,(?),le feu,,
,(?),les pompiers,,
,(?),paille,,
,(?),une aire de repos,,
,(?),un grenier,,
,(?),chasse au trésor,,
,(?),bien-aimé,,
